,fiscalDateEnding,ticker,operatingIncome,ebit,incomeBeforeTax,incomeTaxExpense,netIncome,nonOperatingItems,netInterest
276,2013-06-30,GOOG,3465000000,3720000000,3701000000,927000000,3228000000,-19000000.0,-19000000.0
277,2013-09-30,GOOG,3761000000,3794000000,3775000000,612000000,2970000000,-19000000.0,-19000000.0
278,2013-12-31,GOOG,3922000000,4068000000,4047000000,666000000,3376000000,-21000000.0,-21000000.0
279,2014-03-31,GOOG,4115000000,4496000000,4472000000,822000000,3452000000,-24000000.0,-24000000.0
280,2014-06-30,GOOG,4258000000,4430000000,4403000000,984000000,3351000000,-27000000.0,-27000000.0
281,2014-09-30,GOOG,3724000000,3882000000,3857000000,933000000,2739000000,-25000000.0,-25000000.0
282,2014-12-31,GOOG,4399000000,4552000000,4527000000,737000000,4757000000,-25000000.0,-25000000.0
283,2015-03-31,GOOG,4447000000,4630000000,4604000000,1089000000,3515000000,-26000000.0,-26000000.0
284,2015-06-30,GOOG,4825000000,4982000000,4956000000,1025000000,3931000000,-26000000.0,-26000000.0
285,2015-09-30,GOOG,4708000000,4917000000,4891000000,912000000,3979000000,157000000.0,-26000000.0
286,2015-12-31,GOOG,5380000000,5226000000,5200000000,277000000,4923000000,-26000000.0,-26000000.0
287,2016-03-31,GOOG,5342000000,5159000000,5129000000,922000000,4207000000,-243000000.0,-30000000.0
288,2016-06-30,GOOG,5968000000,6151000000,6119000000,1242000000,4877000000,119000000.0,-32000000.0
289,2016-09-30,GOOG,5767000000,6074000000,6045000000,984000000,5061000000,249000000.0,-29000000.0
290,2016-12-31,GOOG,6639000000,6890000000,6857000000,1524000000,5333000000,185000000.0,-33000000.0
291,2017-03-31,GOOG,6568000000,6844000000,6819000000,1393000000,5426000000,226000000.0,-25000000.0
292,2017-06-30,GOOG,4132000000,4398000000,4377000000,853000000,3524000000,224000000.0,-21000000.0
293,2017-09-30,GOOG,7782000000,8006000000,7979000000,1247000000,6732000000,170000000.0,-27000000.0
294,2017-12-31,GOOG,7664000000,8054000000,8018000000,11038000000,-3020000000,318000000.0,-36000000.0
295,2018-03-31,GOOG,7633000000,10573000000,10543000000,1142000000,9401000000,3512000000.0,-30000000.0
296,2018-06-30,GOOG,3045000000,4242000000,4215000000,1020000000,3195000000,1381000000.0,-27000000.0
297,2018-09-30,GOOG,8625000000,10111000000,10083000000,891000000,9192000000,1745000000.0,-28000000.0
298,2018-12-31,GOOG,8203000000,10101000000,10072000000,1124000000,8948000000,1840000000.0,-29000000.0
